INTERFACE,SMI_INDRT_ACCESS_BC_PHYID_CTRL,0x230C8,3,0,0-0,0-0
INTERFACE,SMI_INDRT_ACCESS_MMD_CTRL,0x230CC,3,0,0-0,0-0
INTERFACE,SMI_PHY_REG_CHK_DATA_RSLT,0x230D0,6,32,0-0,0-3
INTERFACE,SMI_PHY_REG_CHK_DATA_RSLT_ALL,0x230E8,1,1,0-0,0-4
RESET,SOFTWARE_RST,0x108,14,0,0-0,0-0
INTERRUPT,INTR_CTRL,0x1D000,3,0,0-0,0-0
INTERRUPT,INTR_DBGO_POS,0x1D004,1,0,0-0,0-0
INTERRUPT,INTR_DBGO_NEG,0x1D008,1,0,0-0,0-0
INTERRUPT,INTR_IMR,0x1D00C,22,0,0-0,0-0
INTERRUPT,INTR_IMS,0x1D010,22,0,0-0,0-0
INTERRUPT,INTR_STAT,0x1D014,9,64,0-0,0-0
INTERRUPT,INTR_STAT_POS,0x1D01C,1,0,0-0,0-0
INTERRUPT,INTR_STAT_NEG,0x1D020,1,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_1,0x31000,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_2,0x31004,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_3,0x31008,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_4,0x3100C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_5,0x31010,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_6,0x31014,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_7,0x31018,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_8,0x3101C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_9,0x31020,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_10,0x31024,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_11,0x31028,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_13,0x3102C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_14,0x31030,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_15,0x31034,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_17,0x31038,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_18,0x3103C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_19,0x31040,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_20,0x31044,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_21,0x31048,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_22,0x3104C,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_23,0x31050,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_24,0x31054,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_25,0x31058,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_26,0x3105C,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_27,0x31060,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_28,0x31064,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_29,0x31068,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_30,0x3106C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_31,0x31070,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_32,0x31074,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_0,0x3107C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_1,0x31080,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_2,0x31084,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_3,0x31088,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_4,0x3108C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_5,0x31090,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_6,0x31094,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_7,0x31098,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_8,0x3109C,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_9,0x310A0,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_10,0x310A4,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_11,0x310A8,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_12,0x310AC,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_37,0x310B0,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_38,0x310B4,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_39,0x310B8,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_40,0x310BC,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_41,0x310C0,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_42,0x310C4,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_43,0x310C8,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_44,0x310CC,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_45,0x310D0,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_46,0x310D4,3,0,0-0,0-0
